date,place,energy_consumed,sector
2024-01-01,New York,150.5,Commercial
2024-01-02,New York,155.2,Commercial
2024-01-03,New York,148.9,Commercial
2024-01-04,New York,160.3,Commercial
2024-01-05,New York,165.8,Commercial
2024-01-06,New York,170.2,Commercial
2024-01-07,New York,175.5,Commercial
2024-01-08,New York,172.1,Commercial
2024-01-09,New York,168.7,Commercial
2024-01-10,New York,158.4,Commercial
2024-01-11,New York,152.9,Commercial
2024-01-12,New York,161.2,Commercial
2024-01-13,New York,167.8,Commercial
2024-01-14,New York,173.5,Commercial
2024-01-15,New York,180.2,Commercial
2024-01-16,New York,185.9,Commercial
2024-01-17,New York,190.3,Commercial
2024-01-18,New York,188.7,Commercial
2024-01-19,New York,182.5,Commercial
2024-01-20,New York,176.1,Commercial
2024-01-21,Los Angeles,120.5,Residential
2024-01-22,Los Angeles,125.2,Residential
2024-01-23,Los Angeles,118.9,Residential
2024-01-24,Los Angeles,130.3,Residential
2024-01-25,Los Angeles,135.8,Residential
2024-01-26,Los Angeles,140.2,Residential
2024-01-27,Los Angeles,145.5,Residential
2024-01-28,Los Angeles,142.1,Residential
2024-01-29,Los Angeles,138.7,Residential
2024-01-30,Los Angeles,128.4,Residential
2024-02-01,Chicago,200.5,Industrial
2024-02-02,Chicago,210.2,Industrial
2024-02-03,Chicago,198.9,Industrial
2024-02-04,Chicago,215.3,Industrial
2024-02-05,Chicago,225.8,Industrial
2024-02-06,Chicago,235.2,Industrial
2024-02-07,Chicago,240.5,Industrial
2024-02-08,Chicago,238.1,Industrial
2024-02-09,Chicago,228.7,Industrial
2024-02-10,Chicago,218.4,Industrial
2024-02-11,Chicago,205.9,Industrial
2024-02-12,Chicago,215.2,Industrial
2024-02-13,Chicago,222.8,Industrial
2024-02-14,Chicago,230.5,Industrial
2024-02-15,Chicago,238.2,Industrial
2024-02-16,Chicago,245.9,Industrial
2024-02-17,Chicago,250.3,Industrial
2024-02-18,Chicago,248.7,Industrial
2024-02-19,Chicago,242.5,Industrial
2024-02-20,Chicago,236.1,Industrial
